Time,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Category,Weather
19,57,11,25,101.22,0,Mostly Cloudy
20,50,20,25,101.18,0,Mostly Cloudy
21,53,22,25,101.16,0,Mostly Cloudy
22,58,17,25,101.12,0,Cloudy
23,63,15,25,101.05,0,Cloudy
0,58,20,25,100.98,0,Cloudy
1,61,11,25,100.92,0,Cloudy
2,53,17,25,100.81,0,Mostly Cloudy
3,46,24,25,100.69,0,Mostly Cloudy
4,47,28,25,100.64,0,Mostly Cloudy
5,63,19,25,100.57,0,Mostly Cloudy
6,57,19,24.1,100.52,0,Cloudy
7,52,26,48.3,100.47,0,Cloudy
8,63,19,48.3,100.39,0,Cloudy
9,55,26,48.3,100.29,0,Cloudy
10,53,30,24.1,100.22,0,Cloudy
11,55,26,24.1,100.13,0,Cloudy
12,59,20,24.1,100.08,1,Rain
13,65,20,24.1,99.99,0,Cloudy
14,68,26,24.1,99.88,0,Cloudy
15,71,37,19.3,99.82,1,Rain
16,70,32,24.1,99.75,1,Rain
17,74,37,19.3,99.66,1,Rain
18,83,46,6.4,99.64,1,Rain
19,82,30,16.1,99.78,1,Rain
20,79,41,25,99.9,1,Rain
21,82,41,12.9,100.04,1,Rain
22,83,46,9.7,100.13,1,"Rain,Fog"
23,85,35,2.4,100.25,0,Snow
0,87,28,2.8,100.33,0,Snow
1,76,22,25,100.41,0,Mostly Cloudy
2,67,20,25,100.62,0,Mainly Clear
3,64,24,25,100.81,0,Mainly Clear
4,69,11,25,100.97,0,Mainly Clear
5,67,20,25,101.13,0,Mainly Clear
6,70,15,25,101.26,0,Mainly Clear
7,70,15,24.1,101.31,0,Clear
8,65,15,24.1,101.41,0,Clear
9,66,20,24.1,101.46,0,Clear
10,61,19,48.3,101.48,0,Mainly Clear
11,58,17,48.3,101.47,0,Mainly Clear
12,62,20,48.3,101.44,0,Mainly Clear
13,57,15,48.3,101.42,0,Mainly Clear
14,61,19,48.3,101.43,0,Mainly Clear
15,60,17,48.3,101.45,0,Mostly Cloudy
16,56,11,48.3,101.44,0,Mostly Cloudy
17,59,7,48.3,101.47,0,Mostly Cloudy
18,60,7,25,101.52,0,Mainly Clear
19,65,4,25,101.57,0,Mostly Cloudy
20,59,4,25,101.61,0,Mostly Cloudy
21,60,6,25,101.63,0,Mostly Cloudy
22,60,7,25,101.64,0,Mostly Cloudy
23,63,6,25,101.68,0,Cloudy
0,61,4,25,101.77,0,Cloudy
1,64,15,25,101.89,0,Cloudy
2,59,19,25,102.01,0,Cloudy
3,51,24,25,102.1,0,Cloudy
4,56,26,25,102.27,0,Mainly Clear
5,55,20,25,102.42,0,Mainly Clear
6,56,26,24.1,102.6,0,Mostly Cloudy
7,55,20,48.3,102.73,0,Mainly Clear
8,54,19,48.3,102.84,0,Mainly Clear
9,54,15,48.3,102.95,0,Mostly Cloudy
10,51,6,48.3,103.01,0,Mainly Clear
11,49,0,48.3,103.02,0,Mainly Clear
12,54,7,48.3,102.99,0,Clear
13,53,7,48.3,102.89,0,Mainly Clear
14,52,15,48.3,102.84,0,Mostly Cloudy
15,56,11,48.3,102.75,0,Mostly Cloudy
16,52,13,48.3,102.71,0,Mainly Clear
17,53,17,48.3,102.68,0,Mainly Clear
18,54,9,25,102.66,0,Mainly Clear
19,56,9,25,102.67,0,Mainly Clear
20,65,11,25,102.6,0,Mostly Cloudy
21,64,11,25,102.54,0,Mostly Cloudy
22,68,11,25,102.5,0,Snow Showers
23,67,7,25,102.45,0,Cloudy
0,73,7,25,102.36,0,Mainly Clear
1,76,7,25,102.28,0,Mainly Clear
2,74,7,25,102.18,0,Mainly Clear
3,70,17,25,102.05,0,Cloudy
4,68,13,25,102.02,0,Cloudy
5,69,11,25,101.98,0,Mainly Clear
6,68,7,48.3,101.98,0,Cloudy
7,68,11,48.3,101.97,0,Clear
8,63,7,48.3,102,0,Clear
9,53,7,48.3,101.98,0,Mainly Clear
10,50,13,48.3,101.97,0,Clear
11,48,11,48.3,101.92,0,Clear
12,49,24,48.3,101.86,0,Clear
13,46,20,48.3,101.79,0,Clear
14,46,24,48.3,101.74,0,Clear
15,44,20,48.3,101.69,0,Clear
16,45,15,48.3,101.65,0,Clear
17,45,11,48.3,101.65,0,Clear
18,49,7,25,101.68,0,Clear
19,54,6,25,101.69,0,Clear
20,64,9,48.3,101.7,0,Clear
21,63,13,25,101.72,0,Mainly Clear
22,60,6,25,101.72,0,Clear
23,56,7,25,101.75,0,Clear
0,57,20,25,101.77,0,Clear
1,61,17,25,101.77,0,Mainly Clear
2,62,9,25,101.77,0,Mainly Clear
3,73,11,25,101.78,0,Mainly Clear
4,73,4,25,101.8,0,Mainly Clear
5,74,9,25,101.82,0,Clear
6,70,11,48.3,101.89,0,Clear
7,70,4,48.3,101.98,0,Mainly Clear
8,68,6,48.3,102.03,0,Mainly Clear
9,62,0,48.3,102.03,0,Mostly Cloudy
10,57,9,24.1,102,0,Cloudy
11,49,6,24.1,101.99,0,Cloudy
12,49,9,48.3,101.94,0,Mostly Cloudy
13,47,13,48.3,101.84,0,Mostly Cloudy
14,47,6,48.3,101.79,0,Mostly Cloudy
15,44,4,48.3,101.71,0,Cloudy
16,48,4,25,101.64,0,Cloudy
17,48,6,24.1,101.57,0,Cloudy
18,58,13,25,101.54,0,Cloudy
19,59,13,25,101.5,0,Cloudy
20,58,13,25,101.44,0,Cloudy
21,60,13,25,101.39,0,Mostly Cloudy
22,60,11,25,101.35,0,Mostly Cloudy
23,61,11,25,101.22,0,Mostly Cloudy
0,56,13,25,101.11,0,Mostly Cloudy
1,65,13,25,101.07,1,Rain Showers
2,66,6,25,101.05,1,Rain Showers
3,71,15,25,100.87,0,Cloudy
4,68,7,25,100.74,0,Cloudy
5,72,6,25,100.71,0,Cloudy
6,68,9,19.3,100.6,0,Cloudy
7,81,11,9.7,100.61,1,"Rain,Haze"
8,83,7,6.4,100.5,1,"Rain,Haze"
9,86,17,4,100.51,1,"Rain,Haze"
10,87,11,2.4,100.54,1,"Drizzle,Fog"
11,87,11,4.8,100.57,1,"Drizzle,Fog"
12,89,9,4.8,100.64,0,Fog
13,87,7,6.4,100.63,0,Fog
14,87,7,6.4,100.61,0,Fog
15,87,11,8,100.63,0,Fog
16,83,11,8,100.67,1,Haze
17,83,17,8,100.68,1,Haze
18,84,13,8,100.73,1,Haze
19,85,17,6.4,100.79,1,"Drizzle,Fog"
20,85,17,6.4,100.77,1,Haze
21,86,20,4.8,100.87,1,"Rain,Fog"
22,86,6,6.4,100.93,1,Haze
23,86,9,4.8,100.98,1,Haze
0,88,7,3.2,101.02,0,Fog
1,89,7,1,101.06,0,Fog
2,89,7,0.8,101.05,0,Fog
3,92,6,0.6,101.06,0,Fog
4,90,4,0.6,101.13,0,Fog
5,89,6,0.6,101.23,0,Fog
6,90,7,0.6,101.28,0,Fog
7,92,6,2.4,101.36,0,Fog
8,92,6,3.2,101.46,1,"Rain,Fog"
9,92,7,4.8,101.51,1,"Rain,Fog"
10,96,7,2.4,101.57,0,"Snow,Fog"
11,98,6,1.6,101.6,0,"Snow,Fog"
12,99,4,2,101.65,0,"Snow,Fog"
13,98,4,4.8,101.67,1,"Rain,Fog"
14,97,7,8,101.7,1,"Drizzle,Fog"
15,97,13,4.8,101.77,1,"Drizzle,Fog"
16,98,13,8,101.82,1,"Drizzle,Fog"
17,97,15,9.7,101.89,0,Fog
18,97,17,9.7,101.99,1,"Drizzle,Fog"
19,96,15,8,102.07,0,"Snow,Fog"
20,95,15,12.9,102.13,0,Cloudy
21,94,17,12.9,102.17,0,Cloudy
22,93,20,12.9,102.18,0,Cloudy
23,93,15,12.9,102.23,0,Cloudy
0,92,19,12.9,102.24,0,Cloudy
1,92,19,12.9,102.27,0,Cloudy
2,92,13,12.9,102.29,0,Cloudy
3,92,11,12.9,102.25,0,Cloudy
4,92,17,12.9,102.26,0,Cloudy
5,92,15,12.9,102.34,0,Cloudy
6,91,20,16.1,102.36,0,Cloudy
7,90,13,16.1,102.4,0,Cloudy
8,89,17,19.3,102.42,0,Cloudy
9,88,20,16.1,102.39,0,Cloudy
10,86,22,19.3,102.31,0,Cloudy
11,84,19,24.1,102.23,0,Cloudy
12,81,19,24.1,102.18,0,Cloudy
13,78,22,24.1,102.12,0,Cloudy
14,78,22,24.1,102.05,0,Cloudy
15,78,24,24.1,102,0,Mostly Cloudy
16,78,20,24.1,101.99,0,Mostly Cloudy
17,79,26,24.1,101.98,0,Mostly Cloudy
18,81,22,24.1,101.98,1,Rain Showers
19,82,28,25,101.88,0,Mostly Cloudy
20,84,24,25,101.86,0,Mostly Cloudy
21,89,28,25,101.8,1,Rain Showers
22,89,20,25,101.77,0,Mostly Cloudy
23,89,19,25,101.7,0,Mostly Cloudy
0,90,19,25,101.67,0,Cloudy
1,91,15,25,101.54,1,Rain Showers
2,94,17,12.9,101.56,1,Rain
3,96,19,6.4,101.46,1,Rain
4,96,17,4.8,101.39,1,Rain
5,97,20,4.8,101.36,1,Rain
6,97,24,6.4,101.39,1,"Rain,Fog"
7,96,19,4.8,101.37,1,"Rain,Fog"
8,97,15,4,101.38,1,"Rain,Fog"
9,97,17,4,101.41,1,"Rain,Fog"
10,97,13,4.8,101.41,1,"Rain,Fog"
11,96,13,8,101.4,1,"Rain,Fog"
12,96,6,8,101.42,0,Fog
13,97,6,9.7,101.38,0,Fog
14,95,11,9.7,101.4,0,Fog
15,97,7,6.4,101.48,0,Fog
16,95,4,8,101.53,0,Fog
17,94,7,8,101.61,0,Fog
18,96,7,4.8,101.71,1,"Drizzle,Fog"
19,96,0,3.2,101.77,1,"Drizzle,Fog"
20,97,0,2,101.93,1,"Drizzle,Fog"
21,98,7,3.2,101.93,1,"Drizzle,Fog"
22,97,0,6.4,102.04,1,"Drizzle,Fog"
23,97,0,3.2,102.07,1,"Drizzle,Fog"
0,98,4,1.6,102.05,1,"Drizzle,Fog"
1,98,6,0.6,102.05,0,Fog
2,99,4,0.2,102.09,0,Fog
3,99,4,0.2,102.1,0,Fog
4,99,0,0.2,102.15,0,Fog
5,99,0,0.8,102.2,0,Freezing Fog
6,98,4,0.2,102.26,0,Freezing Fog
7,99,0,0.2,102.34,0,Fog
8,99,0,0.2,102.39,0,Fog
9,99,4,0.2,102.38,0,Fog
10,100,0,0.2,102.37,0,Fog
11,98,4,0.6,102.34,0,Fog
12,97,4,9.7,102.32,0,Fog
13,88,7,16.1,102.18,0,Cloudy
14,71,7,24.1,102.13,0,Cloudy
15,67,6,24.1,102.07,0,Cloudy
16,65,7,48.3,102.02,0,Cloudy
17,69,9,48.3,101.97,0,Cloudy
18,73,7,48.3,101.95,0,Cloudy
19,77,6,25,101.93,0,Cloudy
20,76,0,25,101.92,0,Cloudy
21,80,4,25,101.8,0,Mostly Cloudy
22,82,0,25,101.77,0,Mainly Clear
23,87,7,25,101.78,0,Mainly Clear
0,93,4,25,101.75,0,Mainly Clear
1,89,0,25,101.74,0,Mostly Cloudy
2,91,6,25,101.71,0,Mainly Clear
3,90,7,25,101.66,0,Clear
4,94,6,25,101.69,0,Clear
5,92,6,25,101.7,0,Clear
6,93,7,24.1,101.72,0,Clear
7,91,4,48.3,101.78,0,Mainly Clear
8,81,11,48.3,101.79,0,Mainly Clear
9,77,11,48.3,101.81,0,Mainly Clear
10,70,13,48.3,101.78,0,Mainly Clear
11,65,13,48.3,101.71,0,Clear
12,57,11,48.3,101.63,0,Clear
13,52,15,48.3,101.55,0,Mainly Clear
14,49,13,48.3,101.45,0,Mainly Clear
15,47,15,48.3,101.39,0,Mainly Clear
16,47,11,48.3,101.35,0,Mainly Clear
17,50,6,48.3,101.32,0,Mostly Cloudy
18,58,9,48.3,101.32,0,Mostly Cloudy
19,62,0,25,101.3,0,Mainly Clear
20,76,7,25,101.34,0,Clear
21,76,4,25,101.37,0,Mainly Clear
22,78,7,25,101.39,0,Mainly Clear
23,83,6,25,101.37,0,Mainly Clear
0,86,6,25,101.37,0,Mainly Clear
1,86,6,25,101.39,0,Clear
2,87,4,25,101.42,0,Clear
3,88,11,25,101.42,0,Clear
4,86,6,25,101.49,0,Clear
5,90,7,25,101.5,0,Clear
6,88,4,24.1,101.56,0,Mainly Clear
7,91,0,12.9,101.59,0,Mostly Cloudy
8,88,7,12.9,101.67,0,Mostly Cloudy
9,80,6,12.9,101.71,0,Mainly Clear
10,74,6,16.1,101.75,0,Mainly Clear
11,67,4,16.1,101.75,0,Mainly Clear
12,61,4,19.3,101.75,0,Mainly Clear
13,62,19,19.3,101.72,0,Mainly Clear
14,63,15,24.1,101.72,0,Mainly Clear
15,66,17,24.1,101.71,0,Mainly Clear
16,64,11,24.1,101.66,0,Mainly Clear
17,64,13,24.1,101.66,0,Mainly Clear
18,67,19,24.1,101.67,0,Mainly Clear
19,68,15,25,101.71,0,Mainly Clear
20,70,13,25,101.8,0,Mainly Clear
21,69,15,25,101.8,0,Clear
22,66,17,25,101.83,0,Clear
23,69,9,25,101.86,0,Clear
0,65,11,25,101.85,0,Clear
1,68,11,25,101.85,0,Clear
2,69,11,25,101.85,0,Clear
3,70,7,25,101.86,0,Clear
4,68,4,25,101.88,0,Clear
5,69,7,25,101.92,0,Clear
6,76,4,24.1,101.97,0,Clear
7,67,4,24.1,102,0,Clear
8,60,6,24.1,102.08,0,Clear
9,53,0,19.3,102.09,0,Mainly Clear
10,50,4,24.1,102.07,0,Mainly Clear
11,48,6,24.1,102.02,0,Clear
12,52,9,24.1,101.98,0,Clear
13,55,13,24.1,101.93,0,Clear
14,54,11,24.1,101.83,0,Clear
15,52,9,24.1,101.78,0,Clear
16,49,7,24.1,101.73,0,Clear
17,53,7,24.1,101.72,0,Clear
18,60,4,24.1,101.74,0,Clear
19,65,6,25,101.79,0,Clear
20,66,4,25,101.85,0,Clear
21,72,6,25,101.89,0,Clear
22,77,4,25,101.9,0,Clear
23,79,6,25,101.91,0,Clear
0,82,9,25,101.9,0,Clear
1,88,4,25,101.92,0,Clear
2,91,6,25,101.93,0,Clear
3,90,4,25,101.93,0,Clear
4,90,0,25,101.95,0,Clear
5,92,0,25,102.02,0,Clear
6,94,4,9.7,102.07,0,Fog
7,91,4,9.7,102.1,0,Fog
8,86,9,12.9,102.15,0,Clear
9,77,7,19.3,102.17,0,Clear
10,69,13,24.1,102.09,0,Clear
11,60,15,24.1,102.01,0,Clear
12,54,15,24.1,101.94,0,Clear
13,48,17,24.1,101.85,0,Clear
14,45,13,24.1,101.77,0,Clear
15,43,17,48.3,101.72,0,Clear
16,40,17,48.3,101.69,0,Clear
17,40,13,48.3,101.68,0,Clear
18,49,9,48.3,101.67,0,Clear
19,59,6,25,101.67,0,Clear
20,54,7,25,101.7,0,Clear
21,65,13,25,101.68,0,Clear
22,62,7,25,101.66,0,Clear
23,63,7,25,101.66,0,Clear
0,60,13,25,101.63,0,Clear
1,64,11,25,101.62,0,Clear
2,66,7,25,101.59,0,Clear
3,78,9,25,101.56,0,Clear
4,73,6,25,101.54,0,Clear
5,75,13,25,101.59,0,Clear
6,73,15,48.3,101.57,0,Mostly Cloudy
7,73,22,24.1,101.55,0,Mainly Clear
8,70,15,24.1,101.55,0,Mainly Clear
9,64,22,24.1,101.53,0,Mainly Clear
10,59,17,24.1,101.57,0,Mainly Clear
11,58,15,24.1,101.52,0,Mainly Clear
12,50,20,24.1,101.5,0,Mostly Cloudy
13,49,19,24.1,101.43,0,Mostly Cloudy
14,53,17,24.1,101.4,0,Cloudy
15,58,6,24.1,101.38,0,Cloudy
16,53,13,24.1,101.33,0,Mostly Cloudy
17,61,11,24.1,101.39,0,Mostly Cloudy
18,65,19,24.1,101.48,1,Rain Showers
19,62,13,25,101.52,1,Rain Showers
20,65,11,25,101.58,0,Mainly Clear
21,73,7,25,101.59,0,Mainly Clear
22,75,7,25,101.61,0,Mainly Clear
23,76,6,25,101.62,0,Clear
0,80,7,25,101.67,0,Mainly Clear
1,83,0,25,101.7,0,Mainly Clear
2,85,9,25,101.71,0,Mainly Clear
3,85,9,25,101.72,0,Mainly Clear
4,82,7,25,101.76,0,Clear
5,82,9,25,101.85,0,Clear
6,77,7,25,101.9,0,Clear
7,69,0,48.3,101.93,0,Clear
8,52,0,48.3,101.93,0,Clear
9,49,4,48.3,101.94,0,Clear
10,37,17,48.3,101.93,0,Clear
11,29,15,48.3,101.87,0,Clear
12,28,11,48.3,101.81,0,Mainly Clear
13,27,7,48.3,101.71,0,Mostly Cloudy
14,19,15,48.3,101.66,0,Mostly Cloudy
15,20,15,48.3,101.63,0,Mostly Cloudy
16,18,22,48.3,101.6,0,Cloudy
17,25,13,48.3,101.62,0,Cloudy
18,26,13,48.3,101.64,0,Cloudy
19,29,11,25,101.68,0,Mostly Cloudy
20,30,6,25,101.72,0,Cloudy
21,26,15,25,101.7,0,Mostly Cloudy
22,24,19,25,101.73,0,Cloudy
23,26,19,25,101.78,0,Mostly Cloudy
0,28,22,25,101.8,0,Mostly Cloudy
1,29,20,25,101.85,0,Mainly Clear
2,29,19,25,101.86,0,Mostly Cloudy
3,34,22,25,101.86,0,Mostly Cloudy
4,37,13,25,101.88,0,Cloudy
5,41,19,25,101.89,0,Cloudy
6,41,19,24.1,101.93,0,Cloudy
7,40,15,24.1,101.97,0,Cloudy
8,40,19,24.1,101.98,0,Cloudy
9,34,22,48.3,101.94,0,Cloudy
10,37,22,48.3,101.89,0,Cloudy
11,33,22,48.3,101.86,0,Cloudy
12,33,19,48.3,101.8,0,Cloudy
13,31,19,48.3,101.74,0,Cloudy
14,34,9,48.3,101.68,0,Cloudy
15,32,4,48.3,101.61,0,Cloudy
16,32,7,48.3,101.53,0,Cloudy
17,30,13,48.3,101.47,0,Cloudy
18,31,13,48.3,101.46,0,Cloudy
19,34,13,25,101.38,0,Cloudy
20,37,9,25,101.35,0,Cloudy
21,34,9,25,101.28,0,Cloudy
22,35,11,25,101.22,0,Cloudy
23,37,7,25,101.15,1,Rain Showers
0,43,20,25,101.05,1,Rain
1,41,13,25,101.03,0,Cloudy
2,45,9,25,100.91,1,Rain Showers
3,49,7,25,100.84,0,Cloudy
4,50,19,25,100.79,0,Cloudy
5,59,11,25,100.73,0,Cloudy
6,71,15,24.1,100.76,1,Rain Showers
7,89,17,24.1,100.76,1,Rain
8,90,6,24.1,100.74,1,Rain
9,92,0,6.4,100.71,1,"Rain,Fog"
10,92,0,12.9,100.66,0,Cloudy
11,89,6,16.1,100.58,0,Cloudy
12,86,6,24.1,100.54,0,Cloudy
13,83,6,24.1,100.47,0,Cloudy
14,79,11,24.1,100.39,0,Cloudy
15,81,9,24.1,100.29,0,Mostly Cloudy
16,78,9,24.1,100.27,0,Cloudy
17,77,7,24.1,100.26,0,Cloudy
18,80,7,24.1,100.28,0,Mostly Cloudy
19,79,4,25,100.25,0,Mainly Clear
20,85,7,25,100.22,0,Mostly Cloudy
21,84,13,25,100.21,0,Mainly Clear
22,87,11,25,100.17,0,Mainly Clear
23,89,11,25,100.12,0,Mostly Cloudy
0,78,24,25,100.19,1,Rain Showers
1,63,33,25,100.29,1,Rain Showers
2,63,26,25,100.4,0,Cloudy
3,48,26,25,100.6,0,Mostly Cloudy
4,49,22,25,100.74,0,Clear
5,50,20,25,100.86,0,Clear
6,47,32,24.1,101.03,0,Clear
7,46,26,48.3,101.19,0,Mainly Clear
8,51,26,48.3,101.27,0,Mostly Cloudy
9,46,22,48.3,101.33,0,Mainly Clear
10,43,26,48.3,101.32,0,Mainly Clear
11,44,28,48.3,101.3,0,Mainly Clear
12,41,30,48.3,101.28,0,Mainly Clear
13,36,28,48.3,101.26,0,Mainly Clear
14,33,28,48.3,101.24,0,Mainly Clear
15,29,30,48.3,101.26,0,Mainly Clear
16,27,30,48.3,101.29,0,Clear
17,26,32,48.3,101.34,0,Clear
18,26,24,48.3,101.43,0,Clear
19,26,28,25,101.56,0,Clear
20,25,28,25,101.68,0,Clear
21,28,24,25,101.79,0,Clear
22,31,28,25,101.84,0,Clear
23,33,26,25,101.9,0,Clear
0,35,22,25,101.94,0,Clear
1,36,19,25,101.96,0,Clear
2,40,17,25,102.02,0,Clear
3,41,17,25,102.06,0,Clear
4,42,13,25,102.14,0,Clear
5,49,11,25,102.24,0,Clear
6,49,9,48.3,102.31,0,Clear
7,39,9,48.3,102.39,0,Clear
8,34,13,48.3,102.41,0,Clear
9,27,9,48.3,102.44,0,Clear
10,21,0,48.3,102.48,0,Clear
11,22,6,48.3,102.43,0,Clear
12,27,9,48.3,102.31,0,Clear
13,27,6,48.3,102.2,0,Mainly Clear
14,21,13,48.3,102.06,0,Mainly Clear
15,24,15,48.3,101.98,0,Mainly Clear
16,30,17,48.3,101.93,0,Mostly Cloudy
17,32,19,48.3,101.88,0,Mostly Cloudy
18,33,15,48.3,101.79,0,Mostly Cloudy
19,33,11,25,101.74,0,Mostly Cloudy
20,35,13,25,101.68,0,Cloudy
21,38,9,25,101.67,0,Cloudy
22,43,20,25,101.47,0,Cloudy
23,41,13,25,101.44,0,Cloudy
0,41,6,16.1,101.58,0,Snow
1,78,11,16.1,101.39,0,Snow
2,75,13,9.7,101.28,0,Snow
3,83,20,25,101.08,0,Snow
4,84,20,25,100.88,0,Snow
5,81,19,25,100.68,0,Cloudy
6,79,20,24.1,100.51,0,Snow
7,79,22,24.1,100.4,0,Snow
8,76,19,8,100.25,0,"Snow,Ice Pellets"
9,67,15,48.3,100.08,0,Cloudy
10,66,11,48.3,99.94,0,Cloudy
11,70,13,48.3,99.74,0,Cloudy
12,60,7,48.3,99.64,0,Cloudy
13,59,9,48.3,99.51,0,Cloudy
14,67,13,24.1,99.45,1,Rain
15,87,19,19.3,99.42,1,Rain
16,90,20,12.9,99.48,1,Rain
17,91,19,16.1,99.53,1,Drizzle
18,90,13,16.1,99.63,1,Drizzle
19,90,11,12.9,99.74,0,Cloudy
20,90,13,9.7,99.86,0,Fog
21,90,15,9.7,99.92,0,Fog
22,88,13,9.7,99.95,0,Fog
23,88,17,11.3,99.99,0,Cloudy
0,88,15,12.9,100.05,0,Cloudy
1,86,11,12.9,100.12,0,Cloudy
2,85,17,25,100.15,0,Cloudy
3,84,11,25,100.19,0,Cloudy
4,82,11,25,100.27,0,Cloudy
5,82,9,25,100.35,0,Snow
6,83,6,24.1,100.44,0,Snow
7,84,7,24.1,100.52,0,Snow
8,83,6,16.1,100.59,0,Snow
9,77,9,24.1,100.64,0,Snow
10,67,13,24.1,100.7,0,Cloudy
11,66,9,24.1,100.71,0,Cloudy
12,64,6,24.1,100.71,0,Cloudy
13,62,13,24.1,100.72,0,Cloudy
14,61,15,24.1,100.76,0,Cloudy
15,58,19,24.1,100.81,0,Cloudy
16,62,13,24.1,100.87,0,Cloudy
17,57,24,24.1,100.92,0,Cloudy
18,52,20,24.1,100.97,0,Mostly Cloudy
19,54,19,25,101.01,0,Cloudy
20,60,19,25,101.07,0,Cloudy
21,55,24,25,101.11,0,Mostly Cloudy
22,52,17,25,101.14,0,Mostly Cloudy
23,51,24,25,101.17,0,Mostly Cloudy
0,50,19,25,101.18,0,Mostly Cloudy
1,51,20,25,101.21,0,Mainly Clear
2,56,15,25,101.22,0,Clear
3,54,19,25,101.25,0,Mainly Clear
4,60,4,25,101.33,0,Mainly Clear
5,66,11,24.1,101.32,0,Clear
6,63,13,48.3,101.39,0,Clear
7,60,15,48.3,101.52,0,Clear
8,57,11,48.3,101.56,0,Clear
9,54,13,48.3,101.63,0,Clear
10,52,9,48.3,101.62,0,Clear
11,45,4,48.3,101.57,0,Mostly Cloudy
12,49,17,48.3,101.52,0,Mainly Clear
13,40,6,48.3,101.38,0,Mainly Clear
14,38,17,48.3,101.3,0,Mainly Clear
15,36,17,48.3,101.26,0,Mostly Cloudy
16,35,15,48.3,101.26,0,Mostly Cloudy
17,38,15,48.3,101.24,0,Mostly Cloudy
18,42,11,24.1,101.26,0,Mostly Cloudy
19,49,7,25,101.29,0,Mostly Cloudy
20,43,7,25,101.3,0,Mostly Cloudy
21,45,4,25,101.32,0,Cloudy
22,53,0,25,101.3,0,Mostly Cloudy
23,51,6,25,101.34,0,Mainly Clear
0,47,13,25,101.33,0,Mostly Cloudy
1,44,13,25,101.31,0,Mostly Cloudy
2,44,11,25,101.29,0,Cloudy
3,49,13,25,101.3,0,Cloudy
4,56,13,25,101.32,0,Cloudy
5,52,13,25,101.3,0,Cloudy
6,52,15,48.3,101.32,0,Cloudy
7,51,19,48.3,101.32,0,Cloudy
8,50,17,48.3,101.33,0,Cloudy
9,50,17,48.3,101.34,0,Mostly Cloudy
10,44,15,48.3,101.3,0,Mainly Clear
11,35,7,48.3,101.24,0,Clear
12,37,11,48.3,101.16,0,Clear
13,30,9,48.3,101.08,0,Clear
14,31,4,48.3,101.01,0,Mainly Clear
15,30,6,48.3,100.94,0,Mainly Clear
16,31,4,48.3,100.89,0,Mainly Clear
17,31,6,48.3,100.88,0,Mainly Clear
18,33,7,48.3,100.87,0,Mainly Clear
19,36,4,25,100.88,0,Clear
20,43,9,25,100.85,0,Clear
21,52,7,25,100.86,0,Clear
22,50,0,25,100.82,0,Clear
23,54,0,25,100.79,0,Clear
0,59,0,25,100.75,0,Clear
1,65,4,25,100.77,0,Clear
2,59,0,25,100.7,0,Clear
3,68,0,25,100.67,0,Clear
4,73,0,25,100.66,0,Mainly Clear
5,74,4,25,100.65,0,Mostly Cloudy
6,76,6,48.3,100.62,0,Cloudy
7,70,6,48.3,100.6,0,Cloudy
8,57,11,48.3,100.53,0,Cloudy
9,58,9,48.3,100.49,0,Cloudy
10,61,7,48.3,100.46,0,Cloudy
11,70,4,24.1,100.43,1,Rain Showers
12,67,0,24.1,100.35,1,Rain
13,66,7,24.1,100.24,1,Rain
14,77,9,24.1,100.2,1,Rain
15,85,19,24.1,100.14,1,Rain
16,85,17,24.1,100.1,1,Rain
17,85,22,24.1,100.12,1,Rain
18,85,11,24.1,100.11,1,Rain
19,84,0,25,100.14,1,Rain
20,84,11,19.3,100.18,1,Rain
21,87,13,16.1,100.21,1,Rain
22,88,13,25,100.22,0,Cloudy
23,88,7,25,100.21,0,Cloudy
0,89,11,16.1,100.22,0,Mainly Clear
1,91,7,9.7,100.27,0,Fog
2,90,0,12.9,100.31,0,Clear
3,90,0,8,100.33,0,Fog
4,93,4,9.7,100.38,0,Fog
5,94,6,25,100.47,0,Clear
6,88,6,24.1,100.56,0,Clear
7,84,6,48.3,100.65,0,Clear
8,62,13,48.3,100.69,0,Clear
9,45,22,48.3,100.72,0,Clear
10,38,28,48.3,100.73,0,Clear
11,40,24,48.3,100.72,0,Clear
12,36,17,48.3,100.65,0,Clear
13,36,24,48.3,100.64,0,Clear
14,32,26,48.3,100.62,0,Clear
15,27,19,48.3,100.6,0,Clear
16,23,28,48.3,100.59,0,Clear
17,22,30,48.3,100.61,0,Mainly Clear
18,22,19,48.3,100.65,0,Clear
19,27,13,25,100.69,0,Clear
20,28,13,25,100.75,0,Clear
21,30,11,25,100.78,0,Clear
22,36,9,25,100.84,0,Clear
23,35,13,25,100.83,0,Clear
0,41,6,25,100.84,0,Clear
1,45,9,25,100.86,0,Clear
2,39,6,25,100.84,0,Clear
3,50,9,25,100.87,0,Clear
4,47,13,25,100.92,0,Clear
5,47,6,25,100.99,0,Clear
6,45,6,48.3,101.03,0,Clear
7,41,11,48.3,101.09,0,Clear
8,36,19,48.3,101.08,0,Clear
9,36,15,48.3,101.07,0,Clear
10,34,17,48.3,100.98,0,Clear
11,32,11,48.3,100.91,0,Mainly Clear
12,32,11,48.3,100.82,0,Mostly Cloudy
13,27,11,48.3,100.76,0,Mostly Cloudy
14,25,13,48.3,100.65,0,Mostly Cloudy
15,24,24,48.3,100.54,0,Mainly Clear
16,24,30,48.3,100.51,0,Mainly Clear
17,26,28,48.3,100.52,0,Mostly Cloudy
